Sonstiges; Das Unternehmen wurde 2008 von David Schneider und Robert Gentz gegründet und hat mehr als 49 Millionen aktive Kunden in 25 europäischen Märkten
Sonstiges; Zalando ist in mehreren Geschäftsfeldern aktiv – vom Online-Shop über Eigenmarken, den Shopping-Club Zalando Lounge, Outlets in elf deutschen Städten, den Beratungsservice Zalon sowie Logistik- und Marketing-Angebote für Händler
Sonstiges; Mit dem Programm Connected Retail bindet Zalando knapp 7
Sonstiges;000 Geschäfte des stationären Einzelhandels an seine Mode-Plattform an
Sonstiges; 2022 generierte Zalando einen Umsatz von 10,34 Milliarden Euro mit rund 17
Sonstiges;000 Mitarbeitern
Sonstiges;GeschichteZalando wurde 2008 von David Schneider und Robert Gentz in Berlin mit Investorenkapital der drei Samwer-Brüder gegründet
Sonstiges; Kennengelernt hatten sich Schneider, Gentz und Oliver Samwer während ihres Studiums an der WHU – Otto Beisheim School of Management
Sonstiges; Vorbild für Zalando war der US-amerikanische Versandhändler Zappos
Sonstiges; Der Name leitet sich ebenfalls von dem spanischen Wort für Schuhe, zapatos, und dem früheren Unternehmen von Oliver Samwer alando ab
Sonstiges;2009 erweiterte das Unternehmen sein Versandgebiet auf Österreich
Sonstiges; Zur selben Zeit wurde das Angebot um die Bereiche Mode und Bekleidung ergänzt
Sonstiges; Zalando begann eigene Kollektionen und Labels im Markt anzubieten
Sonstiges; Ende 2010 war das Unternehmen Marktführer für den Schuhversand über das Internet, schrieb allerdings 20 Millionen Euro Verlust
Sonstiges; Seit Oktober 2011 liefert das Unternehmen auch in die Schweiz
Sonstiges;" Im Jahr 2011 machte das Unternehmen einen Umsatz von über 500 Millionen Euro; hierbei wurde ein Verlust von 60 Millionen Euro geschrieben"
Sonstiges; Aufmerksamkeit erhielt Zalando durch auffällige Fernsehwerbung
Sonstiges; Die monatlichen Werbeausgaben lagen 2011 im zweistelligen Millionenbereich und wurden wegen hoher Verluste im Januar 2012 auf fünf Millionen Euro reduziert
Sonstiges;Von 2007 bis 2012 hat Zalando circa 3,3 Millionen Euro zur Wirtschaftsförderung strukturschwacher Regionen erhalten
Sonstiges; Angaben des Bundeswirtschaftsministeriums
Sonstiges; 2010 erhielt Zalando 1,6 Millionen Euro GRW-Mittel
Sonstiges; Für 2013 habe Zalando weitere Fördergelder beantragt
Sonstiges;Seit 2012 gehört auch der Outlet Store Berlin zum Unternehmen
Sonstiges; Im Juli 2012 wurde bekannt, dass das Unternehmen einen Teil der Software-Entwicklung am Standort in Dortmund bündelt
Sonstiges; Neben den Lagerstandorten Großbeeren, wo im Juli 2012 1000 Arbeitnehmer tätig waren, und Brieselang, wo 900 Beschäftigte im Juni 2012 arbeiteten, steht in Erfurt eine weitere Lagerhalle, in der 350 Beschäftigte im August 2012 tätig waren
Sonstiges; Im Herbst 2012 wurde mit dem Bau eines Logistikzentrums in Mönchengladbach begonnen
Sonstiges; Der Verlust lag 2012 bei 92 Millionen Euro
Sonstiges; Die Retourenquote sollte bei ungefähr 50 % liegen
Sonstiges;Im Dezember 2013 wurde das Unternehmen von einer Gesellschaft mit beschränkter Haftung (GmbH) in eine Aktiengesellschaft (AG) umgewandelt
Sonstiges;Im Geschäftsjahr 2013 erzielte Zalando einen Umsatz von 1,8 Milliarden Euro
Sonstiges; Im Frühjahr 2014 gab Zalando bekannt, sich in eine europäische Aktiengesellschaft (SE) umzufirmieren, um im europäischen Geschäftsverkehr einheitlich auftreten zu können
Sonstiges;" Seit Oktober 2014 ist Zalando an der Börse; durch den Börsengang konnten 605 Millionen Euro eingenommen werden"
Sonstiges;Der Premium-Shop EMEZA sowie der Eigenmarken-Shop KIOMI wurden 2013 eingestellt
Sonstiges; Im April 2015 eröffnete das Unternehmen einen zusätzlichen Technologie-Standort in Dublin (Irland)
Sonstiges; Ein weiterer Technologie-Standort wurde im Spätsommer 2015 in Helsinki, Finnland eröffnet
Sonstiges; 2015 gab der Unternehmensvorstand David Schneider bekannt, dass Zalando die insolvente Berliner Leitmesse für Urban Streetwear Bread & Butter übernimmt
Sonstiges;" Im Juli 2015 fand die Messe in bisheriger Form im Flughafen Tempelhof statt; ab 2017 wurde sie als „Modefestival“ für ein breiteres Publikum geöffnet, 2018 jedoch eingestellt"
Sonstiges; Im November 2015 stellte Zalando seine Pläne für den Neubau eines Komplexes mit dem Namen „Zalando Campus“ in Berlin-Friedrichshain vor
Sonstiges; Der aus zwei siebenstöckigen Gebäuden bestehende Campus soll auf dem Mediaspree-Areal neben der Mercedes-Benz Arena entstehen und 42
Sonstiges;000 Quadratmeter Fläche sowie Platz für 5000 Mitarbeiter bieten
Sonstiges; Die Kosten sind mit etwa 140 Millionen Euro veranschlagt, der Entwurf stammt von HENN
Sonstiges; Im April 2017 kündigte Zalando an, auf der Cuvrybrache in Berlin-Kreuzberg weitere 34
Sonstiges;000 Quadratmeter Bürofläche anzumieten
Sonstiges;Anfang Juni 2018 gab Zalando seinen Marktantritt in Irland und Tschechien bekannt
Sonstiges; 2018 startete Zalando mit dem Onlineverkauf von Kosmetikartikeln
Sonstiges; Diese sollten zunächst in Deutschland verkauft werden und bei Erfolg auch in anderen Ländern
Sonstiges; Ende Juli 2018 eröffnete Zalando in Berlin sein erstes Ladengeschäft für Kosmetikartikel mit dem Namen Beauty Station
Sonstiges; Im Dezember 2019 kündigte Zalando den Verkauf des Streetwear-Händlers Kickz Never Not Ballin an, welcher erst zwei Jahre zuvor übernommen wurde
Sonstiges; Der Verkauf an die Münchner Play Hard Group wurde im März 2020 abgeschlossen
Sonstiges;Nach Ausbruch der COVID-19-Pandemie in Deutschland gab Zalando im April 2020 ein Sparprogramm über 350 Millionen Euro bekannt
Sonstiges; Durch die Kostensenkungen sollte laut Zalando ein Stellenabbau vermieden werden
Sonstiges; Im April 2020 startete Zalando auch eine Partnerschaft mit Unibail-Rodamco-Westfield Germany, einem Betreiber von Einkaufszentren, um dessen Händlern Zugang zu seinen Online-Diensten zu ermöglichen
Sonstiges; Ebenfalls im Jahr 2020 übernahm Zalando das ETH-Spinoff Fision und stieg, zunächst in Deutschland und Spanien, in den Second-Hand-Modemarkt ein
Sonstiges; Am Jahresende kündigte Rubin Ritter, einer der drei Geschäftsführer, an, sich aus dem Unternehmen zurückzuziehen
Sonstiges; Er wolle mehr Zeit für seine Familie haben und die Karriere seiner Frau unterstützen
Sonstiges; 2021 wurde bekannt, dass sich Zalando im Prime Tower in Zürich einmieten will
Sonstiges; Zalando profitierte von den Lockdowns im stationären Handel und konnte seinen Umsatz deutlich steigern
Sonstiges; Seit dem 20
Sonstiges; September 2021 ist Zalando im Aktienindex DAX
Sonstiges;Im Juni 2022 übernahm Zalando die Mehrheit an Highsnobiety, um enger zusammenzuarbeiten
Sonstiges; Anfang 2023 begann Zalando, über die Onlineshops in Deutschland, Österreich und den Niederlanden auch Spielzeug anzubieten
Sonstiges; Im März des gleichen Jahres berichteten Medien, dass Zalando in allen Bereichen Hunderte Stellen streichen wolle, da die Nachfrage gesunken und das Unternehmen in der Vergangenheit sehr schnell gewachsen sei
