 Amazon ist ein börsennotierter US-amerikanischer, global agierender Onlineversandhändler mit einer breit gefächerten Produktpalette;1;0;0;0
 abgeschlossene kaufmännische Ausbildung und/oder Studium, vorzugsweise in den Bereichen Groß- und Außenhandel und/oder E-Commerce ;1;0;0;0
 Abgeschlossenes Studium (Wirtschafts-)Informatik, Software-Entwicklung oder vergleichbare Qualifikation;1;0;0;0
 Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik, Software-Engineering oder einer vergleichbaren Ausbildung ;1;0;0;0
 Abgeschlossenes Studium im kaufmännischen Bereich und/oder kaufmännische Berufsausbildung mit dem Schwerpunkt E-Commerce ;1;0;0;0
 Abgeschlossenes Studium mit digitalem Schwerpunkt (z.B. Wirtschaftsinformatik, Informatik, Digitales Marketing, E-Commerce) oder mehrere Jahre relevante Berufserfahrung im Bereich E-Commerce ;1;0;0;0
 abgeschlossenes Studium oder einschlägige Erfahrung in BWL, Wirtschaftswissenschaften;1;0;0;0
 Abgeschlossenes Studium oder IT-technis;1;0;0;0
 Abgeschlossenes Studium oder IT-technische Ausbildung (z. B. als Fachinformatiker) mit mehrjähriger Berufserfahrung in der Softwareentwicklung;1;0;0;0
 Abgeschlossenes Studium Technische Informatik, Elektrotechnik , Nachrichten bzw. Automatisierungstechnik oder nachweisbare Erfahrung in der Entwicklung größerer Softwareprojekte ;1;0;0;0
 Abgestimmt mit dem Produktmanagement konzeptionierst Du Robotik- und KI-Lösungen für aktuelle und zukünftige Kärcher-Produkte, entwickelst entsprechende Funktionen und begleitest deren Transfer in die Serie. ;1;0;0;0
 Abstimmung der Schnittstellen zwischen HMI und Maschinensteuerung;1;0;0;0
 Abwechslungsreiche Aufgaben mit viel Gestaltungsspielraum in einem hochtechnologischen Cloud-Umfeld. ;1;0;0;0
 ad hoc Datenanalysen durchführen sowie Hypothesen und Handlungsempfehlungen für Digital Commerce, den Einkauf und das Marketing ableiten;1;0;0;0
 Adaption und Design von Software-Architekturen ;1;0;0;0
 Administration einer bestehender AWS Cloud Umgebung ;1;0;0;0
 Administration von Azure-Komponenten und Monitoring der notwendigen Prozesse;1;0;0;0
 Affinität zur Automatisierungstechnik und deren Umsetzung;1;0;0;0
 Agile Entwicklung in abwechslungsreichen und innovativen Softwareprojekten für Branchenführer. ;1;0;0;0
 Agile Softwareentwicklung (z. B. Kanban, Scrum) ;1;0;0;0
 Agile Softwareentwicklung im Bereich des dSPACE FPGA Programming Blocksets - o Grundkenntnisse im Bereich Softwareengineering, z. B. OOA, OOD oder UML;1;0;0;0
 Agile Softwareentwicklung in C# oder C/C++ unter Windows® oder Linux sowie Verwendung von Azure® DevOps und Git;1;0;0;0
 Agile Softwareentwicklung nach SCRUM ;1;0;0;0
 Agiles Mindset, lösungsorientierte Denkweise und Freude an der Arbeit in einem agilen Team, z. B. nach Scrum;1;0;0;0
 Agiles Projektmanagement der projektbezogenen Software-Teilprodukte ;1;0;0;0
 Aktive Mitarbeit bei der Implementierung sowie Ausführung von operativen und strategischen eCommerce Projekten ;1;0;0;0
 Aktive Mitarbeit in Embedded-Software-Projekten ;1;0;0;0
 Aktive Mitgestaltung des gesamten Softwareentwicklungsprozesses - von der Anforderungsanalyse über das Design bis hin zur Implementierung und Qualitätssicherung sowie die permanente Weiterentwicklung bestehender Softwareanwendungen ;1;0;0;0
 Als Business Intelligence Engineer verantwortest Du die Entwicklung und Optimierung von ETL Datenflüssen im Data Warehouse auf Basis von bankfachlichen und technischen Anforderungen;1;0;0;0
 Als i-Tüpfelchen hast du auch schon Erfahrung mit agilen Softwareentwicklungsmethoden gesammelt.;1;0;0;0
 Als Softwareentwickler (m/w/d) unterstützt du uns bei der Analyse von fachlichen Anforderungen und arbeitest an der Konzeption und Umsetzung neuer Software-Funktionen und -Komponenten mit ;1;0;0;0
 Als Softwareentwickler Anwendungs-Software für Traktoren (w/m/div.) entwickeln Sie Software-Anforderungen, -Architektur und -Design nach Kundenanforderungen und erstellen neue Softwaremodule für Traktoren. ;1;0;0;0
 Als Softwareentwickler mit Schwerpunkt Testkonzept und Automatisierung (w/m/div.) ;1;0;0;0
Sie zuständig für die Ableitung und Definition von Maßnahmen zur Verbesserung der Software-Qualität durch Testaktivitäten. ;1;0;0;0
 Als Teil unseres Teams Plugins & Tools spielen Sie eine entscheidende Rolle bei der Entwicklung und Umsetzung von Software in Roboter-Ökosystemen ;1;0;0;0
 Als zentrale Ansprechperson beantworten Sie technische Fragen im E-Commerce-Bereich und sind Sparringspartner ;1;0;0;0
 Amazon setzte sich mit AWS bei der Vergabe gegen IBM und andere Bewerber durch;1;0;0;0
