Amazon Boersennotierter usamerikanisch Global agierend Onlineversandhaendler breit gefaechert Produktpalette;1;0;0;0
abgeschlossen Studium Wirtschaftsinformatik Softwareentwicklung vergleichbar Qualifikation;1;0;0;0
abgeschlossen Studium Informatik Wirtschaftsinformatik Softwareengineering vergleichbar Ausbildung;1;0;0;0
abgeschlossen Studium ittechnisch Ausbildung z b Fachinformatiker mehrjaehrig Berufserfahrung Softwareentwicklung;1;0;0;0
abwechslungsreich Aufgabe Gestaltungsspielraum hochtechnologisch Cloudumfeld;1;0;0;0
Datenanalysen durchfuehren Hypothese Handlungsempfehlung Fuer Digital Commerce Einkauf Marketing ableiten;1;0;0;0
Adaption Design Softwarearchitektur;1;0;0;0
Administration bestehend aws Cloud Umgebung;1;0;0;1
Administration azurekomponenten monitoring notwendig prozeß;1;0;0;0
Affinitaet Automatisierungstechnik Umsetzung;1;0;0;0
agil Entwicklung abwechslungsreich innovativ softwareprojekten Fuer Branchenfuehrer;1;0;0;0
agil Softwareentwicklung z b Kanban Scrum;1;0;0;0
agil Softwareentwicklung Scrum;1;0;0;0
agil Mindset loesungsorientierte denkweise Freude Arbeit agil Team z b Scrum;1;0;0;0
agil Projektmanagement projektbezogen Softwareteilprodukt;1;0;0;0
aktiv Mitarbeit Implementierung Ausfuehrung operativ strategisch Ecommerce Projekt;1;0;0;0
aktiv Mitarbeit Embeddedsoftwareprojekte;1;0;0;0
aktiv Mitgestaltung gesamt Softwareentwicklungsprozess Anforderungsanalyse ueber Design Implementierung Qualitaetssicherung permanent Weiterentwicklung bestehend Softwareanwendung;1;0;0;0
Business intelligence Engineer Verantwortest Entwicklung Optimierung etl Datenfluessen Data Warehouse Basis Bankfachliche technisch Anforderung;1;0;0;0
Softwareentwickler Mwd unterstuetzen Analyse fachlich Anforderung Arbeitest Konzeption Umsetzung neu Softwarefunktione Komponente;1;0;0;0
Softwareentwickler schwerpunkt Testkonzept Automatisierung Wmdiv;1;0;0;0
zustaendig fuer Ableitung Definition Massnahme Verbesserung softwarequalitaet Testaktivitaet;1;0;0;0
Team plugin Tools spielen entscheidend Rolle Entwicklung Umsetzung Software Roboteroekosystemen;1;0;0;0
zentral Ansprechperson beantworten technisch Frage ecommercebereich Sparringspartner;1;0;0;0
Amazon setzen aws Vergabe Ibm anderer Bewerber;1;0;0;0
