Sonstiges;Amazon Boersennotierter usamerikanisch Global agierend Onlineversandhaendler breit gefaechert Produktpalette
Sonstiges;abgeschlossen Studium Wirtschaftsinformatik Softwareentwicklung vergleichbar Qualifikation
Sonstiges;abgeschlossen Studium Informatik Wirtschaftsinformatik Softwareengineering vergleichbar Ausbildung
Sonstiges;abgeschlossen Studium ittechnisch Ausbildung z b Fachinformatiker mehrjaehrig Berufserfahrung Softwareentwicklung
Sonstiges;abwechslungsreich Aufgabe Gestaltungsspielraum hochtechnologisch Cloudumfeld
Sonstiges;Datenanalysen durchfuehren Hypothese Handlungsempfehlung Fuer Digital Commerce Einkauf Marketing ableiten
Sonstiges;Adaption Design Softwarearchitektur
Sonstiges;Administration bestehend aws Cloud Umgebung
Sonstiges;Administration azurekomponenten monitoring notwendig prozeß
Sonstiges;Affinitaet Automatisierungstechnik Umsetzung
Sonstiges;agil Entwicklung abwechslungsreich innovativ softwareprojekten Fuer Branchenfuehrer
Sonstiges;agil Softwareentwicklung z b Kanban Scrum
Sonstiges;agil Softwareentwicklung Scrum
Sonstiges;agil Mindset loesungsorientierte denkweise Freude Arbeit agil Team z b Scrum
Sonstiges;agil Projektmanagement projektbezogen Softwareteilprodukt
Sonstiges;aktiv Mitarbeit Implementierung Ausfuehrung operativ strategisch Ecommerce Projekt
Sonstiges;aktiv Mitarbeit Embeddedsoftwareprojekte
Sonstiges;aktiv Mitgestaltung gesamt Softwareentwicklungsprozess Anforderungsanalyse ueber Design Implementierung Qualitaetssicherung permanent Weiterentwicklung bestehend Softwareanwendung
Sonstiges;Business intelligence Engineer Verantwortest Entwicklung Optimierung etl Datenfluessen Data Warehouse Basis Bankfachliche technisch Anforderung
Sonstiges;Softwareentwickler Mwd unterstuetzen Analyse fachlich Anforderung Arbeitest Konzeption Umsetzung neu Softwarefunktione Komponente
Sonstiges;Softwareentwickler schwerpunkt Testkonzept Automatisierung Wmdiv
Sonstiges;zustaendig fuer Ableitung Definition Massnahme Verbesserung softwarequalitaet Testaktivitaet
Sonstiges;Team plugin Tools spielen entscheidend Rolle Entwicklung Umsetzung Software Roboteroekosystemen
Sonstiges;zentral Ansprechperson beantworten technisch Frage ecommercebereich Sparringspartner
Sonstiges;Amazon setzen aws Vergabe Ibm anderer Bewerber
Sonstiges;Analyse bestehend Applikation verschieden clouds gcp Azure Openstack
